Incident Id;Primary Charge;Street;City;State;Zipcode;Date of Arrest;Time of Arrest;Age;Race;Gender;Ethnicity;Type of Arrest;Drugs or Alcohol Present;Weapon Present;Disposition;latitude_longitude
40515;ASSAULT-SIMPLE;117 OLD DURHAM RD;CHAPEL HILL;NC;27517;2019-08-26;10:17 PM;25;W;F;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.94424056,-79.01174063
40498;FAIL TO APPEAR/COMPL;214 W ROSEMARY ST;CHAPEL HILL;NC;27516;2019-08-26;8:51 AM;27;B;M;N;TAKEN INTO CUSTODY (WARRANT/LP);N;UNARMED;CLEARED BY ARREST;35.913341985,-79.058293957
40496;PUBLIC URINATION;107 EPHESUS CHURCH RD/LEGION RD;CHAPEL HILL;NC;27517;2019-08-26;8:15 PM;57;B;M;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.935056,-79.0219395
40497;AFFRAY/ASSAULT & BATTERY;117 OLD DURHAM RD;CHAPEL HILL;NC;27517;2019-08-26;10:17 PM;55;B;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.94424056,-79.01174063
40495;ASSAULT-SIMPLE;233 MCCAULEY STREET;CHAPEL HILL;NC;27514;2019-08-26;7:27 AM;21;W;F;N;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.907198362,-79.057233541
40492;POSS MARIJUANA MISD;143 W FRANKLIN ST/CHURCH ST;CHAPEL HILL;NC;27516;2019-08-25;12:15 AM;22;W;M;N;SUMMONED/CITED;N;UNARMED;CLEARED BY ARREST;35.91225,-79.058142
40489;AFFRAY/ASSAULT & BATTERY;100 E FRANKLIN ST;CHAPEL HILL;NC;27514;2019-08-25;3:02 AM;21;B;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.912862,-79.0553025
40490;AFFRAY/ASSAULT & BATTERY;100 E FRANKLIN ST;CHAPEL HILL;NC;27514;2019-08-25;2:43 AM;22;B;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.912862,-79.0553025
40485;OPEN CONTAINER;127 E FRANKLIN ST;CHAPEL HILL;NC;27514;2019-08-25;2:59 AM;25;W;F;N;SUMMONED/CITED;Y;UNARMED;CLEARED BY ARREST;35.913560552,-79.054784832
40487;AFFRAY/ASSAULT & BATTERY  M;;CHAPEL HILL;NC;;2019-08-25;2:43 AM;22;B;M;N;ON VIEW;Y;UNARMED;CLEARED BY ARREST;35.91489,-79.05677
